,B,1,1.1,1.2,1.3,balance
337,B,3,4,3,4,1
338,R,3,4,3,5,0
339,L,3,4,4,1,0
340,L,3,4,4,2,0
341,B,3,4,4,3,1
342,R,3,4,4,4,0
343,R,3,4,4,5,0
344,L,3,4,5,1,0
345,L,3,4,5,2,0
346,R,3,4,5,3,0
347,R,3,4,5,4,0
348,R,3,4,5,5,0
349,L,3,5,1,1,0
350,L,3,5,1,2,0
351,L,3,5,1,3,0
352,L,3,5,1,4,0
353,L,3,5,1,5,0
354,L,3,5,2,1,0
355,L,3,5,2,2,0
356,L,3,5,2,3,0
357,L,3,5,2,4,0
358,L,3,5,2,5,0
359,L,3,5,3,1,0
360,L,3,5,3,2,0
361,L,3,5,3,3,0
362,L,3,5,3,4,0
363,B,3,5,3,5,1
364,L,3,5,4,1,0
365,L,3,5,4,2,0
366,L,3,5,4,3,0
367,R,3,5,4,4,0
368,R,3,5,4,5,0
369,L,3,5,5,1,0
370,L,3,5,5,2,0
371,B,3,5,5,3,1
372,R,3,5,5,4,0
373,R,3,5,5,5,0
374,L,4,1,1,1,0
375,L,4,1,1,2,0
376,L,4,1,1,3,0
377,B,4,1,1,4,1
378,R,4,1,1,5,0
379,L,4,1,2,1,0
380,B,4,1,2,2,1
381,R,4,1,2,3,0
382,R,4,1,2,4,0
383,R,4,1,2,5,0
384,L,4,1,3,1,0
385,R,4,1,3,2,0
386,R,4,1,3,3,0
387,R,4,1,3,4,0
388,R,4,1,3,5,0
389,B,4,1,4,1,1
390,R,4,1,4,2,0
391,R,4,1,4,3,0
392,R,4,1,4,4,0
393,R,4,1,4,5,0
394,R,4,1,5,1,0
395,R,4,1,5,2,0
396,R,4,1,5,3,0
397,R,4,1,5,4,0
398,R,4,1,5,5,0
399,L,4,2,1,1,0
400,L,4,2,1,2,0
401,L,4,2,1,3,0
402,L,4,2,1,4,0
403,L,4,2,1,5,0
404,L,4,2,2,1,0
405,L,4,2,2,2,0
406,L,4,2,2,3,0
407,B,4,2,2,4,1
408,R,4,2,2,5,0
409,L,4,2,3,1,0
410,L,4,2,3,2,0
411,R,4,2,3,3,0
412,R,4,2,3,4,0
413,R,4,2,3,5,0
414,L,4,2,4,1,0
415,B,4,2,4,2,1
416,R,4,2,4,3,0
417,R,4,2,4,4,0
418,R,4,2,4,5,0
419,L,4,2,5,1,0
420,R,4,2,5,2,0
421,R,4,2,5,3,0
422,R,4,2,5,4,0
423,R,4,2,5,5,0
424,L,4,3,1,1,0
425,L,4,3,1,2,0
426,L,4,3,1,3,0
427,L,4,3,1,4,0
428,L,4,3,1,5,0
429,L,4,3,2,1,0
430,L,4,3,2,2,0
431,L,4,3,2,3,0
432,L,4,3,2,4,0
433,L,4,3,2,5,0
434,L,4,3,3,1,0
435,L,4,3,3,2,0
436,L,4,3,3,3,0
437,B,4,3,3,4,1
438,R,4,3,3,5,0
439,L,4,3,4,1,0
440,L,4,3,4,2,0
441,B,4,3,4,3,1
442,R,4,3,4,4,0
443,R,4,3,4,5,0
444,L,4,3,5,1,0
445,L,4,3,5,2,0
446,R,4,3,5,3,0
447,R,4,3,5,4,0
448,R,4,3,5,5,0
449,L,4,4,1,1,0
450,L,4,4,1,2,0
451,L,4,4,1,3,0
452,L,4,4,1,4,0
453,L,4,4,1,5,0
454,L,4,4,2,1,0
455,L,4,4,2,2,0
456,L,4,4,2,3,0
457,L,4,4,2,4,0
458,L,4,4,2,5,0
459,L,4,4,3,1,0
460,L,4,4,3,2,0
461,L,4,4,3,3,0
462,L,4,4,3,4,0
463,L,4,4,3,5,0
464,L,4,4,4,1,0
465,L,4,4,4,2,0
466,L,4,4,4,3,0
467,B,4,4,4,4,1
468,R,4,4,4,5,0
469,L,4,4,5,1,0
470,L,4,4,5,2,0
471,L,4,4,5,3,0
472,R,4,4,5,4,0
473,R,4,4,5,5,0
474,L,4,5,1,1,0
475,L,4,5,1,2,0
476,L,4,5,1,3,0
477,L,4,5,1,4,0
478,L,4,5,1,5,0
479,L,4,5,2,1,0
480,L,4,5,2,2,0
481,L,4,5,2,3,0
482,L,4,5,2,4,0
483,L,4,5,2,5,0
484,L,4,5,3,1,0
485,L,4,5,3,2,0
486,L,4,5,3,3,0
487,L,4,5,3,4,0
488,L,4,5,3,5,0
489,L,4,5,4,1,0
490,L,4,5,4,2,0
491,L,4,5,4,3,0
492,L,4,5,4,4,0
493,B,4,5,4,5,1
494,L,4,5,5,1,0
495,L,4,5,5,2,0
496,L,4,5,5,3,0
497,B,4,5,5,4,1
498,R,4,5,5,5,0
499,L,5,1,1,1,0
500,L,5,1,1,2,0
501,L,5,1,1,3,0
502,L,5,1,1,4,0
503,B,5,1,1,5,1
504,L,5,1,2,1,0
505,L,5,1,2,2,0
506,R,5,1,2,3,0
507,R,5,1,2,4,0
508,R,5,1,2,5,0
509,L,5,1,3,1,0
510,R,5,1,3,2,0
511,R,5,1,3,3,0
512,R,5,1,3,4,0
513,R,5,1,3,5,0
514,L,5,1,4,1,0
515,R,5,1,4,2,0
516,R,5,1,4,3,0
517,R,5,1,4,4,0
518,R,5,1,4,5,0
519,B,5,1,5,1,1
520,R,5,1,5,2,0
521,R,5,1,5,3,0
522,R,5,1,5,4,0
523,R,5,1,5,5,0
524,L,5,2,1,1,0
525,L,5,2,1,2,0
526,L,5,2,1,3,0
527,L,5,2,1,4,0
528,L,5,2,1,5,0
529,L,5,2,2,1,0
530,L,5,2,2,2,0
531,L,5,2,2,3,0
532,L,5,2,2,4,0
533,B,5,2,2,5,1
534,L,5,2,3,1,0
535,L,5,2,3,2,0
536,L,5,2,3,3,0
537,R,5,2,3,4,0
538,R,5,2,3,5,0
539,L,5,2,4,1,0
540,L,5,2,4,2,0
541,R,5,2,4,3,0
542,R,5,2,4,4,0
543,R,5,2,4,5,0
544,L,5,2,5,1,0
545,B,5,2,5,2,1
546,R,5,2,5,3,0
547,R,5,2,5,4,0
548,R,5,2,5,5,0
549,L,5,3,1,1,0
550,L,5,3,1,2,0
551,L,5,3,1,3,0
552,L,5,3,1,4,0
553,L,5,3,1,5,0
554,L,5,3,2,1,0
555,L,5,3,2,2,0
556,L,5,3,2,3,0
557,L,5,3,2,4,0
558,L,5,3,2,5,0
559,L,5,3,3,1,0
560,L,5,3,3,2,0
561,L,5,3,3,3,0
562,L,5,3,3,4,0
563,B,5,3,3,5,1
564,L,5,3,4,1,0
565,L,5,3,4,2,0
566,L,5,3,4,3,0
567,R,5,3,4,4,0
568,R,5,3,4,5,0
569,L,5,3,5,1,0
570,L,5,3,5,2,0
571,B,5,3,5,3,1
572,R,5,3,5,4,0
573,R,5,3,5,5,0
574,L,5,4,1,1,0
575,L,5,4,1,2,0
576,L,5,4,1,3,0
577,L,5,4,1,4,0
578,L,5,4,1,5,0
579,L,5,4,2,1,0
580,L,5,4,2,2,0
581,L,5,4,2,3,0
582,L,5,4,2,4,0
583,L,5,4,2,5,0
584,L,5,4,3,1,0
585,L,5,4,3,2,0
586,L,5,4,3,3,0
587,L,5,4,3,4,0
588,L,5,4,3,5,0
589,L,5,4,4,1,0
590,L,5,4,4,2,0
591,L,5,4,4,3,0
592,L,5,4,4,4,0
593,B,5,4,4,5,1
594,L,5,4,5,1,0
595,L,5,4,5,2,0
596,L,5,4,5,3,0
597,B,5,4,5,4,1
598,R,5,4,5,5,0
599,L,5,5,1,1,0
600,L,5,5,1,2,0
601,L,5,5,1,3,0
602,L,5,5,1,4,0
603,L,5,5,1,5,0
604,L,5,5,2,1,0
605,L,5,5,2,2,0
606,L,5,5,2,3,0
607,L,5,5,2,4,0
608,L,5,5,2,5,0
609,L,5,5,3,1,0
610,L,5,5,3,2,0
611,L,5,5,3,3,0
612,L,5,5,3,4,0
613,L,5,5,3,5,0
614,L,5,5,4,1,0
615,L,5,5,4,2,0
616,L,5,5,4,3,0
617,L,5,5,4,4,0
618,L,5,5,4,5,0
619,L,5,5,5,1,0
620,L,5,5,5,2,0
621,L,5,5,5,3,0
622,L,5,5,5,4,0
623,B,5,5,5,5,1
